id,nom,categorie,kcal,proteines,glucides,lipides,fibres,agSatures,agTrans,agMonoInsatures,agPolyInsatures,omega3,omega6,omega9,fer,magnesium,potassium,calcium,zinc,sodium,selenium,iode,vitA,vitC,vitD,vitE,vitK1,vitK2,vitB1,vitB2,vitB3,vitB5,vitB6,vitB9,vitB12,creatine,collagene
biere,Bière,boisson,43,0.5,3.5,0,0,0,0,0,0,0,0,0,0,0,27,0,0,0,0,0,0,0,0,0,0,0,0,0.03,0.6,0,0.05,6,0,0,0
vin-rouge,Vin rouge,boisson,83,0,2.6,0,0,0,0,0,0,0,0,0,0.7,0,127,0,0,0,0,0,0,0,0,0,0,0,0,0.03,0.14,0,0.03,0,0,0,0
pizza,Pizza margherita,plat,230,9,28,8.5,2,3.5,0,3.5,1,0,0.9,3.2,0,0,0,150,0,500,0,0,0,0,0,0,0,0,0.2,0.17,2.5,0.4,0.1,20,0,0,0
ketchup,Ketchup,autre,100,1.2,24,0,0,0,0,0,0,0,0,0,0,0,300,0,0,900,0,0,0,4,0,0,0,0,0.03,0.05,1.4,0.1,0.1,0,0,0,0
mayonnaise,Mayonnaise,autre,690,1.1,1.5,75,0,6,0,18,45,0.4,40,17,0,0,0,0,0,600,0,0,0,0,0,6,0,0,0.01,0.03,0,0.2,0.02,0,0,0,0
vinaigre,Vinaigre (vin / cidre),autre,20,0,0.6,0,0,0,0,0,0,0,0,0,0,5,25,6,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
vinaigre-balsamique,Vinaigre balsamique,autre,88,0.5,17,0,0,0,0,0,0,0,0,0,0.7,12,112,27,0,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
vinaigrette,Vinaigrette,autre,450,0.5,5,47,0,6.5,0,28,12,0.2,10,27,0,0,0,0,0,700,0,0,0,0,0,5,30,0,0,0,0,0,0,0,0,0,0
sel,Sel,supplement,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38700,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
poivre,Poivre noir,supplement,251,10,39,3.3,25,0,0,0,0,0,0,0,9.7,170,1330,440,1.4,0,0,0,0,0,0,0,164,0,0,0,0,0,0.29,0,0,0,0
creatine,Créatine (monohydrate),supplement,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0
whey,Protéine en poudre (whey),supplement,380,80,8,6,0,3,0,0,0,0,0,0,0,60,500,500,3,300,0,0,0,0,0,0,0,0,0,1.2,0,0,0,0,2,0,0
fibres,Fibres (complément),supplement,200,2,5,1,80,0,0,0,0,0,0,0,2,30,200,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
spiruline,Spiruline (poudre),supplement,290,57,24,8,4,0,0,0,0,0,0,0,28,195,1360,120,2,0,7,0,29,0,0,5,0,0,2.4,3.7,12.8,0,0.36,0,0,0,0
levure-maltee,Levure maltée / de bière,supplement,350,48,20,0,22,0,0,0,0,0,0,0,17,230,1900,0,8,0,100,0,0,0,0,0,0,0,10,4,45,10,4,1000,5,0,0
collagene-peptides,Collagène en peptides (poudre),supplement,370,90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,90
supp-magnesium,Magnésium (complément),supplement,0,0,0,0,0,0,0,0,0,0,0,0,0,100000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
supp-zinc,Zinc (complément),supplement,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
supp-vitc,Vitamine C (complément),supplement,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100000,0,0,0,0,0,0,0,0,0,0,0,0,0
supp-vitd,Vitamine D3 (complément),supplement,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100000000,0,0,0,0,0,0,0,0,0,0,0,0
supp-omega3,Oméga 3 (capsules huile de poisson),supplement,900,0,0,100,0,0,0,0,60,29.1,5,0,0,0,0,0,0,0,0,0,0,0,250,0,0,0,0,0,0,0,0,0,0,0,0
supp-vitb12,Vitamine B12 (complément),supplement,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100000000,0,0
supp-vitk2,"Vitamine K2 (MK-7, complément)",supplement,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100000000,0,0,0,0,0,0,0,0,0
